Id	Site	Grid.10km	Expansion	ID	RegScore1
PA_29_CC_13_D_calibrated	CC	NO79	Scotland	PA_29_CC_13_D_calibrated	-0.009488408876006632
PA_29_CC_14_D_calibrated	CC	NO79	Scotland	PA_29_CC_14_D_calibrated	-0.01023039064678024
PA_29_CC_15_D_calibrated	CC	NO79	Scotland	PA_29_CC_15_D_calibrated	0.01264437844186242
PA_29_CC_16_D_calibrated	CC	NO79	Scotland	PA_29_CC_16_D_calibrated	0.004300338069988375
PA_29_CC_17_D_calibrated	CC	NO79	Scotland	PA_29_CC_17_D_calibrated	-0.011981730175336514
PA_29_CC_18_D_calibrated	CC	NO79	Scotland	PA_29_CC_18_D_calibrated	0.0158319878207598
PA_29_CC_19_D_calibrated	CC	NO79	Scotland	PA_29_CC_19_D_calibrated	-0.0042320189392388696
PA_29_CC_20_D_calibrated	CC	NO79	Scotland	PA_29_CC_20_D_calibrated	0.006984456778178671
PA_30_CB_01_D_calibrated	CB	NG82	Scotland	PA_30_CB_01_D_calibrated	0.049376637045064765
PA_30_CB_02_D_calibrated	CB	NG82	Scotland	PA_30_CB_02_D_calibrated	0.0011397977417098469
PA_30_CB_03_D_calibrated	CB	NG82	Scotland	PA_30_CB_03_D_calibrated	0.02603332196579143
PA_30_CB_04_D_calibrated	CB	NG82	Scotland	PA_30_CB_04_D_calibrated	0.017612596896971464
PA_30_CB_05_D_calibrated	CB	NG82	Scotland	PA_30_CB_05_D_calibrated	0.006300957569073051
PA_30_CB_06_D_calibrated	CB	NG82	Scotland	PA_30_CB_06_D_calibrated	0.00375430984907331
PA_30_CB_07_D_calibrated	CB	NG82	Scotland	PA_30_CB_07_D_calibrated	0.02537711213684941
PA_30_CB_08_D_calibrated	CB	NG82	Scotland	PA_30_CB_08_D_calibrated	0.0011691503069353477
PA_30_CB_09_D_calibrated	CB	NG82	Scotland	PA_30_CB_09_D_calibrated	0.0035295394077317116
PA_30_CB_10_D_calibrated	CB	NG82	Scotland	PA_30_CB_10_D_calibrated	0.04622257926534913
PA_31_Cdho_01_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_01_D_calibrated	0.011126541565483114
PA_31_Cdho_02_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_02_D_calibrated	-0.006437701514605774
PA_31_Cdho_03_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_03_D_calibrated	0.02638383861019696
PA_31_Cdho_04_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_04_D_calibrated	0.0030076978990587824
PA_31_Cdho_05_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_05_D_calibrated	-0.0027342000070101585
PA_31_Cdho_06_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_06_D_calibrated	0.015972708806741412
PA_31_Cdho_07_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_07_D_calibrated	0.009050775129006091
PA_31_Cdho_08_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_08_D_calibrated	-0.017684788998848646
PA_31_Cdho_09_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_09_D_calibrated	0.002165567310779478
PA_31_Cdho_10_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_10_D_calibrated	-0.009236942526937006
PA_31_Cdho_11_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_11_D_calibrated	-0.0017625392294924845
PA_31_Cdho_12_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_12_D_calibrated	0.01708864414472903
PA_31_Cdho_13_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_13_D_calibrated	0.010552881143031025
PA_31_Cdho_14_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_14_D_calibrated	0.014021572050558134
PA_31_Cdho_15_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_15_D_calibrated	0.0074096674442190626
PA_31_Cdho_16_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_16_D_calibrated	-0.010868911599293863
PA_31_Cdho_17_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_17_D_calibrated	-0.012333588708162514
PA_31_Cdho_18_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_18_D_calibrated	0.02112822762796797
PA_31_Cdho_19_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_19_D_calibrated	-0.007309127304771129
PA_31_Cdho_20_D_calibrated	Cdho	NH54	Scotland	PA_31_Cdho_20_D_calibrated	-0.006489804274634055
PA_32_MW_01_D_calibrated	MW	NH69	Scotland	PA_32_MW_01_D_calibrated	0.004608792521468953
PA_32_MW_02_D_calibrated	MW	NH69	Scotland	PA_32_MW_02_D_calibrated	-0.011641011681096842
