 ,Label,Area,Mean,StdDev,Min,Max,XM,YM,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
408,EN19M29_D_calibrated.png:brown,193992,74.19,28.98,13,219,481.96,657.77,662.97,372.56,130.24,798.34,14392838.00,14392838.00,269,329,132.56,455.79
409,EN19M2_D_calibrated.png:wing,271613,66.61,36.96,11,214,700.42,662.11,763.19,453.14,135.49,833.61,18092896.00,18092896.00,464,353,138.26,483.28
410,EN19M2_D_calibrated.png:cream,28378,154.53,27.08,66,214,696.02,626.99,211.31,170.99,108.48,812.72,4385295.00,4385295.00,464,357,136.45,477.92
411,EN19M2_D_calibrated.png:brown,243235,56.36,20.80,11,174,701.84,673.34,731.27,423.51,136.12,833.61,13707601.00,13707601.00,464,353,138.26,483.28
412,EN19M30_D_calibrated.png:wing,227977,100.18,40.99,16,242,712.69,693.71,693.62,418.49,135.78,759.45,22839844.00,22839844.00,498,412,137.51,450.00
413,EN19M30_D_calibrated.png:cream,32300,180.62,26.22,86,242,701.63,654.21,219.87,187.04,110.89,753.10,5833908.00,5833908.00,520,396,134.52,445.01
414,EN19M30_D_calibrated.png:brown,195677,86.91,24.48,16,203,716.48,707.27,657.26,379.06,136.81,759.45,17005936.00,17005936.00,498,412,137.51,450.00
415,EN19M31_D_calibrated.png:wing,263302,65.42,37.00,12,233,482.30,677.23,751.74,445.96,124.85,823.83,17225761.00,17225761.00,303,308,126.41,480.65
416,EN19M31_D_calibrated.png:cream,22443,163.14,29.42,64,233,449.87,637.69,199.38,143.32,106.11,806.61,3661412.00,3661412.00,298,323,127.14,475.90
417,EN19M31_D_calibrated.png:brown,240859,56.32,21.06,12,197,491.07,687.91,723.69,423.76,125.32,823.83,13564349.00,13564349.00,303,308,126.41,480.65
418,EN19M32_D_calibrated.png:wing,255671,75.04,38.41,14,240,489.37,670.83,726.70,447.96,125.06,788.99,19185602.00,19185602.00,304,331,130.94,474.49
419,EN19M32_D_calibrated.png:cream,24932,170.63,26.87,59,240,462.48,621.58,210.88,150.53,109.95,750.25,4254232.00,4254232.00,323,330,123.31,468.94
420,EN19M32_D_calibrated.png:brown,230739,64.71,21.50,14,205,497.03,684.88,693.62,423.56,125.71,788.99,14931370.00,14931370.00,304,331,130.94,474.49
421,EN19M33_D_calibrated.png:wing,267042,72.97,43.36,13,249,493.83,680.61,769.06,442.11,132.02,849.24,19485223.00,19485223.00,250,357,135.24,480.08
422,EN19M33_D_calibrated.png:cream,27777,176.64,32.34,62,249,461.03,637.81,212.83,166.17,94.60,808.33,4906563.00,4906563.00,245,366,135.95,473.40
