 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
15,C19M13_V_calibrated.png:bot3rd,69953,123.86,32.53,34,248,406.87,218.91,89.34,478.55,8664107.00,8664107.00,616.00,708.63,75.76,228.79
16,C19M13_V_calibrated.png:whole_wing,270958,127.01,28.28,34,248,662.17,521.01,20.12,684.83,34414561.00,34414561.00,159.97,480.50,0.35,548.97
17,C19M15_V_calibrated.png:edge3rd,66311,134.12,19.49,51,210,430.48,196.13,91.93,479.64,8893782.00,8893782.00,452.29,727.86,89.33,208.09
18,C19M15_V_calibrated.png:mid3rd,90481,147.50,20.76,46,222,504.27,228.46,85.91,510.08,13346334.00,13346334.00,503.05,748.26,68.75,209.00
19,C19M15_V_calibrated.png:bot3rd,51950,128.76,28.55,29,237,327.85,201.75,90.59,386.81,6688974.00,6688974.00,694.00,659.16,87.23,208.72
20,C19M15_V_calibrated.png:whole_wing,208656,138.56,23.99,29,237,591.58,449.08,10.50,624.82,28911791.00,28911791.00,273.91,433.28,179.81,476.14
21,C19M16_V_calibrated.png:edge3rd,70244,110.95,31.12,44,210,452.77,197.53,92.60,477.57,7793840.00,7793840.00,421.73,266.56,92.95,214.49
22,C19M16_V_calibrated.png:mid3rd,96087,150.45,22.53,50,209,514.43,237.82,86.38,520.27,14456681.00,14456681.00,476.00,740.12,65.66,215.00
23,C19M16_V_calibrated.png:bot3rd,56675,141.50,26.70,38,220,357.70,201.74,90.13,415.77,8019738.00,8019738.00,691.85,669.20,76.02,214.01
24,C19M16_V_calibrated.png:whole_wing,222188,135.70,31.65,38,220,614.48,460.39,16.39,641.52,30151075.00,30151075.00,262.51,463.12,179.67,481.54
25,C19M17_V_calibrated.png:edge3rd,89070,114.80,32.88,32,206,513.95,220.66,90.20,558.69,10225174.00,10225174.00,457.97,200.68,90.13,242.83
26,C19M17_V_calibrated.png:mid3rd,123529,151.07,27.96,46,221,576.77,272.69,89.74,564.75,18662066.00,18662066.00,466.48,763.83,89.83,243.00
27,C19M17_V_calibrated.png:bot3rd,74508,147.20,23.42,43,216,399.77,237.30,88.70,439.67,10967624.00,10967624.00,703.00,698.32,89.90,242.86
28,C19M17_V_calibrated.png:whole_wing,286551,138.80,32.82,32,221,690.53,528.36,3.90,727.70,39771892.00,39771892.00,218.17,517.48,0.20,550.39
29,C19M18_V_calibrated.png:edge3rd,78867,79.78,28.66,27,200,485.83,206.69,91.54,536.95,6291949.00,6291949.00,353.37,238.53,92.84,227.60
30,C19M18_V_calibrated.png:mid3rd,113882,115.62,33.34,33,191,580.14,249.94,87.12,564.98,13166775.00,13166775.00,399.85,772.77,67.35,228.00
31,C19M18_V_calibrated.png:bot3rd,60431,121.84,26.00,29,192,362.74,212.12,96.22,451.70,7362708.00,7362708.00,619.00,701.23,88.58,227.28
32,C19M18_V_calibrated.png:whole_wing,252660,105.95,35.11,27,200,632.38,508.71,15.55,681.88,26769574.00,26769574.00,164.40,483.14,0.08,540.19
