 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
43,C19M20_D_calibrated.png:bot3rd,60344,77.53,20.50,28,247,305.59,251.42,60.94,375.79,4678327.00,4678327.00,155.15,671.05,44.10,271.51
44,C19M20_D_calibrated.png:whole_wing,259843,69.71,34.33,12,247,748.49,442.01,176.74,813.20,18112647.00,18112647.00,153.49,664.03,179.56,478.55
45,C19M21_D_calibrated.png:edge3rd,72906,92.56,29.06,27,203,385.78,240.62,106.69,434.71,6747921.00,6747921.00,727.00,317.68,114.46,262.26
46,C19M21_D_calibrated.png:mid3rd,110449,108.21,34.89,43,216,481.30,292.18,89.22,470.74,11951578.00,11951578.00,585.66,292.22,107.39,263.00
47,C19M21_D_calibrated.png:bot3rd,55489,100.70,21.33,37,230,297.98,237.10,57.09,366.07,5587833.00,5587833.00,211.86,628.79,46.39,262.44
48,C19M21_D_calibrated.png:whole_wing,238501,101.67,31.17,27,230,719.86,421.85,177.13,786.70,24247857.00,24247857.00,202.56,603.52,0.04,450.71
49,C19M22_D_calibrated.png:edge3rd,68754,67.28,33.53,19,217,366.40,238.92,106.44,409.23,4625561.00,4625561.00,682.00,383.95,117.63,253.00
50,C19M22_D_calibrated.png:mid3rd,98591,84.66,40.80,32,216,447.88,280.28,88.16,444.57,8346950.00,8346950.00,430.00,749.08,55.32,253.00
51,C19M22_D_calibrated.png:bot3rd,47823,80.26,18.70,34,187,269.80,225.68,49.97,337.94,3838488.00,3838488.00,182.95,666.61,42.78,252.51
52,C19M22_D_calibrated.png:whole_wing,214458,78.12,35.44,19,217,694.60,393.11,178.31,756.65,16752645.00,16752645.00,178.49,653.96,0.36,426.16
53,C19M23_D_calibrated.png:edge3rd,73669,68.36,34.11,18,225,382.99,244.91,106.63,436.56,5035731.00,5035731.00,687.00,362.98,117.51,263.00
54,C19M23_D_calibrated.png:mid3rd,108599,81.12,36.25,31,231,474.80,291.22,88.49,473.22,8809617.00,8809617.00,424.00,756.29,56.31,263.00
55,C19M23_D_calibrated.png:bot3rd,50998,81.98,18.23,32,241,289.65,224.18,49.87,355.88,4181005.00,4181005.00,172.36,684.36,45.00,261.67
56,C19M23_D_calibrated.png:whole_wing,233266,77.28,33.00,18,241,713.83,416.07,179.68,788.76,18026353.00,18026353.00,161.94,662.56,0.48,452.54
57,C19M25_D_calibrated.png:edge3rd,73930,84.02,38.24,19,233,387.97,242.62,106.77,433.88,6211419.00,6211419.00,680.00,370.54,118.07,257.00
58,C19M25_D_calibrated.png:mid3rd,102278,90.31,38.07,35,244,458.27,284.16,87.71,460.06,9236771.00,9236771.00,424.49,752.12,56.11,257.00
59,C19M25_D_calibrated.png:bot3rd,48642,92.58,20.01,39,239,276.10,224.31,52.81,345.63,4503072.00,4503072.00,187.64,691.44,46.85,256.38
60,C19M25_D_calibrated.png:whole_wing,224436,88.72,35.15,19,244,704.54,405.60,178.78,769.71,19912141.00,19912141.00,167.62,661.84,179.82,432.83
61,C19M27_D_calibrated.png:edge3rd,74250,117.32,39.08,24,235,386.97,244.30,105.48,440.73,8711149.00,8711149.00,686.00,367.66,118.66,261.57
62,C19M27_D_calibrated.png:mid3rd,104862,130.79,40.73,51,248,459.64,290.48,86.69,470.72,13714841.00,13714841.00,424.00,758.24,56.39,262.00
63,C19M27_D_calibrated.png:bot3rd,51748,113.22,31.20,34,221,281.07,234.42,51.29,344.52,5858886.00,5858886.00,168.34,664.59,41.84,261.61
64,C19M27_D_calibrated.png:whole_wing,230537,122.50,39.02,24,248,720.17,407.59,178.55,784.19,28240863.00,28240863.00,163.39,653.98,0.26,444.71
65,C19M28_D_calibrated.png:edge3rd,65774,96.54,31.07,19,217,354.90,235.97,107.85,404.18,6350143.00,6350143.00,685.00,382.22,121.70,251.97
66,C19M28_D_calibrated.png:mid3rd,98091,107.88,33.30,40,230,446.92,279.45,87.99,446.96,10582372.00,10582372.00,433.51,751.56,55.83,252.00
67,C19M28_D_calibrated.png:bot3rd,47190,94.49,21.36,27,211,279.04,215.32,53.38,349.43,4458869.00,4458869.00,193.09,690.75,46.64,251.22
68,C19M28_D_calibrated.png:whole_wing,211056,101.35,30.91,19,230,687.12,391.09,0.24,755.19,21391473.00,21391473.00,181.78,655.40,0.00,422.40
69,C19M29_D_calibrated.png:edge3rd,75253,76.51,34.30,18,222,388.95,246.35,109.03,447.07,5757232.00,5757232.00,695.00,366.72,120.96,267.77
70,C19M29_D_calibrated.png:mid3rd,110096,92.36,38.79,34,230,470.53,297.92,88.63,472.84,10167929.00,10167929.00,427.00,756.19,55.53,268.00
71,C19M29_D_calibrated.png:bot3rd,57395,91.38,18.95,33,228,299.16,244.27,59.68,373.27,5244721.00,5244721.00,162.32,681.01,44.62,267.32
72,C19M29_D_calibrated.png:whole_wing,242407,87.18,34.39,18,230,743.45,415.15,176.53,802.10,21132935.00,21132935.00,160.68,676.85,0.22,441.96
73,C19M2_D_calibrated.png:edge3rd,70579,97.93,38.73,26,238,376.43,238.73,106.22,418.37,6911671.00,6911671.00,730.26,323.83,116.40,252.98
