 ,Label,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret
193,CCM25_D_calibrated.png:edge3rd,9,0.00,0.00,0,0,33.48,0.34,123.92,597.00,0.00,0.00,-196.15,551.70,123.90,1.00
194,CCM25_D_calibrated.png:mid3rd,101534,86.71,34.38,21,246,471.68,274.08,85.56,978.17,8804275.00,8804275.00,219.06,1169.07,75.02,300.18
195,CCM25_D_calibrated.png:bot3rd,110438,103.91,41.41,32,247,465.32,302.19,105.56,536.94,11475395.00,11475395.00,479.66,224.93,114.13,337.90
196,CCM25_D_calibrated.png:whole_wing,211981,95.67,39.16,0,247,582.77,463.14,159.06,1012.88,20279670.00,20279670.00,-196.98,552.26,0.44,734.19
197,CCM26_D_calibrated.png:edge3rd,82982,71.26,31.75,16,217,493.53,214.08,86.54,520.60,5913469.00,5913469.00,319.43,714.57,81.21,226.32
198,CCM26_D_calibrated.png:mid3rd,113111,80.28,28.82,27,219,569.23,253.00,92.82,569.64,9080628.00,9080628.00,399.68,199.46,113.41,227.00
199,CCM26_D_calibrated.png:bot3rd,59363,92.30,34.24,21,248,406.83,185.78,92.81,458.09,5479230.00,5479230.00,626.00,275.00,102.43,226.08
200,CCM26_D_calibrated.png:whole_wing,255456,80.14,32.06,16,248,636.28,511.18,159.30,679.41,20473327.00,20473327.00,172.68,500.02,0.39,529.31
201,CCM27_D_calibrated.png:edge3rd,29,0.00,0.00,0,0,59.92,0.62,131.98,547.00,0.00,0.00,-264.87,476.51,131.90,2.00
202,CCM27_D_calibrated.png:mid3rd,120926,87.45,32.27,0,213,535.82,287.35,86.71,997.12,10575439.00,10575439.00,389.46,1204.71,86.19,328.08
203,CCM27_D_calibrated.png:bot3rd,122985,100.64,38.19,28,247,453.58,345.23,96.00,544.20,12377308.00,12377308.00,481.00,215.41,117.96,373.16
204,CCM27_D_calibrated.png:whole_wing,243940,94.09,36.00,0,247,612.09,507.44,174.11,1119.80,22952747.00,22952747.00,-265.62,477.17,179.61,835.00
205,CCM28_D_calibrated.png:edge3rd,0,NaN,0.00,NaN,NaN,0.00,0.00,0.00,2.24,NaN,NaN,-219.79,399.22,22.44,1.00
206,CCM28_D_calibrated.png:mid3rd,86634,86.17,27.47,24,197,587.73,187.68,91.01,610.87,7465231.00,7465231.00,406.20,177.53,92.51,192.82
207,CCM28_D_calibrated.png:bot3rd,155089,74.84,32.46,19,249,616.68,320.21,84.28,658.62,11606867.00,11606867.00,483.21,832.78,86.29,326.77
208,CCM28_D_calibrated.png:whole_wing,241124,78.90,31.25,19,249,619.99,495.19,83.92,978.57,19025571.00,19025571.00,-219.79,399.22,179.69,620.29
209,CCM29_D_calibrated.png:edge3rd,19,96.47,25.86,59,150,64.37,0.38,47.00,222.00,1833.00,1833.00,414.80,566.99,46.74,1.00
210,CCM29_D_calibrated.png:mid3rd,88122,104.26,28.20,31,218,623.73,179.89,91.81,626.20,9187708.00,9187708.00,388.10,805.49,85.52,188.78
211,CCM29_D_calibrated.png:bot3rd,148650,87.06,34.67,23,248,603.35,313.69,83.73,658.12,12942139.00,12942139.00,438.41,179.69,98.35,326.03
212,CCM29_D_calibrated.png:whole_wing,236156,93.49,33.47,23,248,626.46,479.97,81.57,977.23,22079233.00,22079233.00,-215.20,406.99,179.80,622.57
213,CCM30_D_calibrated.png:edge3rd,0,NaN,0.00,NaN,NaN,0.00,0.00,0.00,5.10,NaN,NaN,-199.87,377.47,34.69,1.00
214,CCM30_D_calibrated.png:mid3rd,92415,126.69,27.04,39,235,592.47,198.60,94.19,618.48,11707785.00,11707785.00,394.50,192.41,93.23,219.36
215,CCM30_D_calibrated.png:bot3rd,154938,109.84,33.74,31,250,634.84,310.75,83.99,652.80,17018634.00,17018634.00,511.83,836.76,89.82,319.06
216,CCM30_D_calibrated.png:whole_wing,246748,116.16,32.46,31,250,630.52,498.27,88.32,956.94,28661564.00,28661564.00,-199.87,377.47,179.77,628.71
